商品编码,品名,监管条件,检验检疫类别,法定单位,政策依据
68091100,仅用纸、纸板贴面或加强的,,,千克,日常维护
68091900,其他,,,千克,日常维护
68099000,其他制品,,,千克,日常维护
68101100,建筑用砖及石砌块,,,千克,日常维护
68101910,人造石制,,,千克,日常维护
68101990,其他,,,千克,日常维护
68109110,钢筋混凝土和预应力混凝土管、杆、板、桩等,,,千克,日常维护
68109190,其他,,,千克,日常维护
68109910,铁道用水泥枕,,,千克,日常维护
68109990,其他,,,千克,日常维护
68114010,瓦楞板,,,千克,日常维护
68114020,其他片、板、砖、瓦及类似制品,,,千克,日常维护
68114030,管子及管子附件,,,千克,日常维护
68114090,其他制品,,,千克,日常维护
68118100,瓦楞板,,,千克,日常维护
68118200,其他片、板、砖、瓦及类似制品,,,千克,日常维护
68118910,管子及管子附件,,,千克,日常维护
68118990,其他制品,,,千克,日常维护
68128000,青石棉的,,,千克,日常维护
68129100,服装、衣着附件、帽类及鞋靴,,,千克,日常维护
68129910,纸、麻丝板及毡子,,,千克,日常维护
68129920,成片或成卷的压缩石棉纤维接合材料,,,千克,日常维护
68129990,其他,,,千克,日常维护
68132010,闸衬、闸垫,,,千克,日常维护
68132090,其他,,,千克,日常维护
68138100,闸衬、闸垫,,,千克,日常维护
68138900,其他,,,千克,日常维护
68141000,粘聚或复制云母制的板、片、带，不论是否附于其他材料上,,,千克,日常维护
68149000,其他,,,千克,日常维护
68151100,碳纤维,3,,千克,税委会公告2026年第5号
68151200,碳纤维织物,,,千克,日常维护
68151310,碳纤维预浸料航空器用碳纤维预浸料（拉伸模量≥50吉帕，径向拉伸强度≥500兆帕）,,,千克,日常维护
68151390,其他燃料电池用气体扩散层,,,千克,日常维护
68151900,其他砷化镓、磷化铟、氮化镓、碳化硅外延生产设备用石墨配件（金属含量≤5ppm）,,,千克,税委会公告2026年第5号
68152000,泥煤制品,,,千克,税委会公告2026年第5号
68159100,含有菱镁矿、方镁石形态的氧化镁、白云石（包括煅烧形态）或铬铁矿的,,,千克,税委会公告2026年第5号
68159940,玄武岩纤维及其制品,,,千克,税委会公告2026年第5号
68159990,其他电熔高锆质砖，氧化锆含量大于87%,,,千克,税委会公告2026年第5号
69010000,硅质化石粉（例如各种硅藻土）或类似硅土制的砖、块、瓦及其他陶瓷制品,,,千克,税委会公告2026年第5号
69021000,单独或同时含有按重量计超过50％的镁、钙或铬（分别以氧化镁、氧化钙及三氧化二铬的含量计）,,,千克,税委会公告2026年第5号
69022000,含有按重量计超过50％的三氧化二铝、二氧化硅或其混合物或化合物,,,千克,税委会公告2026年第5号
69029000,其他,,,千克,税委会公告2026年第5号
69031000,含有按重量计超过50%的单体碳,3,,千克,税委会公告2026年第5号
69032000,含有按重量计超过50%的三氧化二铝或三氧化二铝和二氧化硅的混合物或化合物,3,,千克,税委会公告2026年第5号
69039000,其他第二分章其他陶瓷产品,3,,千克,日常维护
69041000,建筑用砖,,L,千克/千块,日常维护
69049000,其他,,L,千克,日常维护
69051000,屋顶瓦,,,千克,日常维护
69059000,其他,,L,千克,日常维护
69060000,陶瓷套管、导管、槽管及管子附件,,,千克,日常维护
69072110,不论是否矩形，其最大表面积以可置入边长小于7厘米的方格为限,,L,千克/平方米,日常维护
69072190,其他,,L,千克/平方米,日常维护
69072210,不论是否矩形，其最大表面积以可置入边长小于7厘米的方格为限,,,千克/平方米,日常维护
69072290,其他,,,千克/平方米,日常维护
69072310,不论是否矩形，其最大表面积以可置入边长小于7厘米的方格为限,,,千克/平方米,日常维护
69072390,其他,,,千克/平方米,日常维护
69073010,不论是否矩形，其最大表面积以可置入边长小于7厘米的方格为限,,L,千克/平方米,日常维护
69073090,其他,,L,千克/平方米,日常维护
69074010,不论是否矩形，其最大表面积以可置入边长小于7厘米的方格为限,,L,千克/平方米,日常维护
69074090,其他,,L,千克/平方米,日常维护
69091100,瓷制,3,,千克,日常维护
69091200,莫氏硬度为9或以上的物品,3,,千克,日常维护
69091900,其他,3,,千克,日常维护
69099000,其他,,,千克,日常维护
69101000,瓷制,,,千克/件,日常维护
69109000,其他,A,M,千克/件,日常维护
69111011,骨瓷,A,R,千克,日常维护
69111019,其他,A,R,千克,日常维护
69111021,刀具,A,R,千克,日常维护
69111029,其他,A,R,千克,日常维护
69119000,其他,,,千克,日常维护
69120010,餐具,A,R,千克,日常维护
69120090,其他,A,R,千克,日常维护
69131000,瓷制,,,千克,日常维护
69139000,其他,,,千克,日常维护
69141000,瓷制,,,千克,日常维护
69149000,其他,,,千克,日常维护
70010010,无色光学玻璃块料无色光学玻璃块料[符合指标1（三个参数均满足）：均匀性不高于5ppm，气泡度不高于0.03平方毫米，应力双折射不高于5纳米/厘米的；或符合指标2：羟基含量低于300ppm的],,,千克,日常维护
70010090,其他,9,,千克,日常维护
70021000,玻璃球,,,千克,税委会公告2026年第5号
70022010,光导纤维预制棒,,,千克,税委会公告2026年第5号
70022090,其他,,,千克,税委会公告2026年第5号
70023110,光导纤维用波导级石英玻璃管,,,千克,税委会公告2026年第5号
70023190,其他,,,千克,税委会公告2026年第5号
70023200,温度在0摄氏度至300摄氏度时线膨胀系数不超过5×10-6/开尔文的其他玻璃制,,,千克,日常维护
70023900,其他,,,千克,日常维护
70031200,整块着色、不透明、镶色或具有吸收、反射或非反射层的,,,千克/平方米,税委会公告2026年第5号
70031900,其他液晶或有机发光二极管（OLED）显示屏基板用原板玻璃手机或平板电脑盖板（包括前盖、后盖）用原板玻璃,,,千克/平方米,税委会公告2026年第5号
70032000,夹丝玻璃板、片,,,千克/平方米,税委会公告2026年第5号
70033000,型材及异型材,,,千克/平方米,税委会公告2026年第5号
70042000,整块着色、不透明、镶色或具有吸收、反射或非反射层的,,,千克/平方米,税委会公告2026年第5号
70049000,其他玻璃光学平板玻璃，厚度0.7毫米以下液晶或有机发光二极管（OLED）显示屏基板用原板玻璃手机或平板电脑盖板（包括前盖、后盖）用原板玻璃,,,千克/平方米,税委会公告2026年第5号
70051000,具有吸收、反射或非反射层的非夹丝玻璃,,,千克/平方米,税委会公告2026年第5号
70052100,整块着色、不透明、镶色或仅表面研磨的,,,千克/平方米,税委会公告2026年第5号
70052900,其他液晶或有机发光二极管（OLED）显示屏基板用原板玻璃手机或平板电脑盖板（包括前盖、后盖）用原板玻璃,,,千克/平方米,税委会公告2026年第5号
70053000,夹丝玻璃,,,千克/平方米,税委会公告2026年第5号
70060000,"经弯曲、磨边、镂刻、钻孔、涂珐琅或其他加工的税目70.03、70.04或70.05的玻璃，但未用其他材料镶框或装配液晶玻璃基板,6代(1850毫米*1500毫米）以上，不含6代",,,千克,日常维护
70071110,航空器、航天器及船舶用空载重量25吨及以上飞机的挡风玻璃,,,千克,日常维护
70071190,其他,A,L,千克,日常维护
70071900,其他,,L,千克/平方米,日常维护
70072110,航空器、航天器及船舶用,,,千克,日常维护
70072190,其他,A,L,千克,日常维护
70072900,其他,,L,千克/平方米,日常维护
70080010,中空或真空隔温、隔音玻璃,,L,千克,日常维护
70080090,其他,,L,千克,日常维护
70091000,车辆后视镜,,L,千克,日常维护
70099100,未镶框,,L,千克,日常维护
70099200,已镶框,,,千克,日常维护
70101000,安瓿,,,千克,日常维护
70102000,塞、盖及类似的封口器,,,千克,日常维护
70109010,超过1升,,,千克,日常维护
70109020,超过0.33升，但不超过1升,,,千克,日常维护
70109030,超过0.15升，但不超过0.33升,,,千克,日常维护
70109090,不超过0.15升,,,千克,日常维护
70111000,电灯用,,,千克,税委会公告2026年第5号
70112010,显像管玻壳及其零件,6,,千克,日常维护
70112090,其他,6,,千克,日常维护
70119010,电子管用（阴极射线管用的除外）,,,千克,日常维护
70119090,其他,,,千克,税委会公告2026年第5号
70131000,玻璃陶瓷制,,,千克,日常维护
70132200,铅晶质玻璃制,,,千克,日常维护
70132800,其他,A,R,千克,日常维护
70133300,铅晶质玻璃制,,,千克,日常维护
70133700,其他,A,R,千克,日常维护
70134100,铅晶质玻璃制,A,R,千克,日常维护
70134200,温度在0摄氏度至300摄氏度时线膨胀系数不超过5×10-6/开尔文的其他玻璃制,A,R,千克,日常维护
70134900,其他,A,R,千克,日常维护
70139100,铅晶质玻璃制,,,千克,日常维护
70139900,其他,,,千克,日常维护
70140010,光学仪器用光学元件毛坯,,,千克,日常维护
70140090,其他,,,千克,日常维护
70151010,变色镜片坯件,,,千克,日常维护
70151090,其他,,,千克,日常维护
70159010,钟表玻璃,,,千克,税委会公告2026年第5号
70159020,平光变色镜片坯件,,,千克,日常维护
70159090,其他,,,千克,税委会公告2026年第5号
70161000,供镶嵌或类似装饰用的玻璃马赛克及其他小件玻璃品，不论是否有衬背,,,千克,日常维护
70169010,花饰铅条窗玻璃及类似品,,,千克,日常维护
70169090,其他,,,千克,日常维护
70171000,熔融石英或其他熔融硅石制,,,千克,日常维护
70172000,温度在0摄氏度至300摄氏度时线膨胀系数不超过5×10-6/开尔文的其他玻璃制,,,千克,日常维护
70179000,其他,,,千克,日常维护
70181000,玻璃珠、仿珍珠、仿宝石或仿半宝石及类似小件玻璃品,,,千克,日常维护
70182000,直径不超过1毫米的微型玻璃球熔融球形二氧化硅微粉，直径小于等于100微米,,,千克,日常维护
70189000,其他,,,千克,日常维护
70191100,长度不超过50毫米的短切原丝,3,,千克,税委会公告2026年第5号
70191200,无捻粗纱,,,千克,税委会公告2026年第5号
70191300,其他纱线，定长纤维纱条,3,,千克,税委会公告2026年第5号
70191400,机械结合毡,3,,千克,税委会公告2026年第5号
70191500,化学粘合毡,3,,千克,税委会公告2026年第5号
70191900,其他,,,千克,税委会公告2026年第5号
70196100,紧密粗纱机织物,3,,千克,税委会公告2026年第5号
70196200,其他紧密粗纱织物,3,,千克,税委会公告2026年第5号
70196310,宽度不超过30厘米的,3,,千克,税委会公告2026年第5号
70196320,宽度超过30厘米的长丝平纹织物，每平方米重量不超过110克，单根纱线细度不超过22特克斯,3,,千克,税委会公告2026年第5号
70196390,其他,3,,千克,税委会公告2026年第5号
70196410,宽度不超过30厘米的,3,,千克,税委会公告2026年第5号
70196490,其他,3,,千克,税委会公告2026年第5号
70196510,粗纱机织物,3,,千克,税委会公告2026年第5号
70196590,其他,3,,千克,税委会公告2026年第5号
70196610,粗纱机织物,3,,千克,税委会公告2026年第5号
70196690,其他,3,,千克,税委会公告2026年第5号
70196910,垫,3,,千克,税委会公告2026年第5号
70196920,纤维网、板及类似无纺产品,3,,千克,税委会公告2026年第5号
70196930,宽度不超过30厘米的机织物,3,,千克,税委会公告2026年第5号
70196990,其他,3,,千克,税委会公告2026年第5号
70197100,覆面毡（薄毡）,3,,千克,税委会公告2026年第5号
70197210,垫,3,,千克,税委会公告2026年第5号
70197290,其他,3,,千克,税委会公告2026年第5号
70197310,垫,3,,千克,税委会公告2026年第5号
70197390,其他,3,,千克,税委会公告2026年第5号
70198010,垫,,,千克,日常维护
70198020,纤维网、板及类似无纺产品,,,千克,税委会公告2026年第5号
70198090,其他,,,千克,税委会公告2026年第5号
70199021,每平方米重量小于450克,3,,千克,税委会公告2026年第5号
70199029,其他,3,,千克,税委会公告2026年第5号
70199091,垫,3,,千克,税委会公告2026年第5号
70199092,其他纤维网、板及类似无纺织产品,3,,千克,税委会公告2026年第5号
70199099,其他,3,,千克,日常维护
70200011,导电玻璃,,,千克,日常维护
70200012,绝缘子用玻璃伞盘,,,千克,税委会公告2026年第5号
70200013,熔融石英或其他熔融硅石制用于插入熔化和氧化炉内以制备半导体晶片的石英反应管及夹持器,,,千克,日常维护
70200019,其他用于插入熔化和氧化炉内以制备半导体晶片的石英反应管及夹持器,,,千克,税委会公告2026年第5号
70200091,保温瓶或其他保温容器用的玻璃胆,A,R,千克/个,日常维护
70200099,其他石英玻璃，平整度小于等于1微米,,,千克,税委会公告2026年第5号
71011011,黑珍珠,AB,PQ,克,税委会公告2026年第5号
71011019,其他,AB,PQ,克,税委会公告2026年第5号
71011091,黑珍珠,AB,PQ,克,税委会公告2026年第5号
71011099,其他,AB,PQ,克,税委会公告2026年第5号
71012110,未分级养殖黑珍珠,AB,PQ,千克,税委会公告2026年第5号
71012190,其他养殖黑珍珠,AB,PQ,千克,税委会公告2026年第5号
71012210,未分级养殖黑珍珠,,,千克,税委会公告2026年第5号
71012290,其他养殖黑珍珠,,,千克,税委会公告2026年第5号
71021000,未分级,D,,克拉,税委会公告2026年第5号
71022100,未加工或经简单锯开、劈开或粗磨,D,,克拉,税委会公告2026年第5号
71022900,其他,,,克拉,税委会公告2026年第5号
71023100,未加工或经简单锯开、劈开或粗磨,D,,克拉,税委会公告2026年第5号
71023900,其他,,,克拉,税委会公告2026年第5号
71031000,未加工或经简单锯开或粗制成形,,,千克,税委会公告2026年第5号
71039100,红宝石、蓝宝石、绿宝石,,,克拉,税委会公告2026年第5号
71039910,翡翠,,,克拉,税委会公告2026年第5号
71039920,水晶,,,克拉,税委会公告2026年第5号
71039930,碧玺,,,克拉,税委会公告2026年第5号
71039940,软玉,,,克拉,税委会公告2026年第5号
71039990,其他,,,克拉,税委会公告2026年第5号
71041000,压电石英,,,克,税委会公告2026年第5号
71042100,钻石,,,克,税委会公告2026年第5号
71042900,其他,,,克,税委会公告2026年第5号
71049110,工业用,3,,克,税委会公告2026年第5号
71049190,其他,,,克,税委会公告2026年第5号
71049911,蓝宝石,,,克,税委会公告2026年第5号
71049919,其他,,,克,税委会公告2026年第5号
71049990,其他,,,克,税委会公告2026年第5号
71051010,天然的,,,克拉,税委会公告2026年第5号
71051020,人工合成的,,,克拉,税委会公告2026年第5号
71059000,其他第二分章贵金属及包贵金属,,,克,税委会公告2026年第5号
71061011,平均粒径小于3微米,4xy,,克,税委会公告2026年第5号
71061019,其他,4xy,,克,税委会公告2026年第5号
71061021,平均粒径小于10微米,4xy,,克,税委会公告2026年第5号
71061029,其他,4xy,,克,税委会公告2026年第5号
71069110,纯度达99.99％及以上,4xy,,克,税委会公告2026年第5号
71069190,其他,4xy,,克,税委会公告2026年第5号
71069210,纯度达99.99％及以上,4xy,,克,税委会公告2026年第5号
71069290,其他,4xy,,克,税委会公告2026年第5号
71070000,以贱金属为底的包银材料异型复合接点带（表面粗糙度Ra≤0.1微米、Rz≤1.0微米，银层硬度≥95维氏硬度（HV），晶体粒径≤3微米）,,,千克,税委会公告2026年第5号
71081100,金粉,J,,克,税委会公告2026年第5号
71081200,其他未锻造形状,J,,克,税委会公告2026年第5号
71081300,其他半制成形状,J,,克,税委会公告2026年第5号
71082000,货币用,J,,克,税委会公告2026年第5号
71090000,以贱金属或银为底的包金材料，加工程度未超过半制成,,,克,税委会公告2026年第5号
71101100,未锻造或粉末状,48xy,,克,税委会公告2026年第5号
71101910,板、片,48xy,,克,税委会公告2026年第5号
71101990,其他,4xy,,克,税委会公告2026年第5号
71102100,未锻造或粉末状,4xy,,克,税委会公告2026年第5号
71102910,板、片,4xy,,克,税委会公告2026年第5号
71102990,其他,4xy,,克,税委会公告2026年第5号
71103100,未锻造或粉末状,4xy,,克,税委会公告2026年第5号
71103910,板、片,4xy,,克,税委会公告2026年第5号
71103990,其他,4xy,,克,税委会公告2026年第5号
71104100,未锻造或粉末状,4xy,,克,税委会公告2026年第5号
71104910,板、片,4xy,,克,税委会公告2026年第5号
71104990,其他,4xy,,克,税委会公告2026年第5号
71110000,以贱金属、银或金为底的包铂材料，加工程度未超过半制成,4xy,,克,税委会公告2026年第5号
71123010,含有银或银化合物的,9,,克,税委会公告2026年第5号
71123090,其他,9,,克,税委会公告2026年第5号
71129110,金及包金的废碎料,9,,克,税委会公告2026年第5号
71129120,含有金或金化合物的废碎料,9,,克,税委会公告2026年第5号
71129210,铂及包铂的废碎料,49xy,,克,税委会公告2026年第5号
71129220,含有铂或铂化合物的废碎料铂含量在3%以上的其他含铂或铂化合物的废碎料,4xy,,克,税委会公告2026年第5号
71129910,含有银或银化合物的废碎料,9,,克,税委会公告2026年第5号
71129920,含有其他贵金属或贵金属化合物的废碎料,9,,克,税委会公告2026年第5号
71129990,其他第三分章珠宝首饰、金银器及其他制品,,,克,税委会公告2026年第5号
71131110,镶嵌钻石的,,,克,税委会公告2026年第5号
71131190,其他,FE,,克,税委会公告2026年第5号
71131911,镶嵌钻石的,,,克,税委会公告2026年第5号
71131919,其他,EF,,克,税委会公告2026年第5号
71131921,镶嵌钻石的,,,克,税委会公告2026年第5号
71131929,其他,EF,,克,税委会公告2026年第5号
71132010,镶嵌钻石的,,,克,税委会公告2026年第5号
71132090,其他,FE,,克,税委会公告2026年第5号
71141100,银制，不论是否包、镀其他贵金属,FE,,克,税委会公告2026年第5号
71141900,其他贵金属制，不论是否包、镀贵金属,FE,,克,税委会公告2026年第5号
71142000,以贱金属为底的包贵金属制,FE,,克,税委会公告2026年第5号
71151000,金属丝布或格栅形状的铂催化剂,4xy,,克,税委会公告2026年第5号
71159010,工业或实验室用,,,克,税委会公告2026年第5号
71159090,其他,,,克,税委会公告2026年第5号
71161000,天然或养殖珍珠制,,,千克,税委会公告2026年第5号
71162000,宝石或半宝石（天然、合成或再造）制,,,千克,税委会公告2026年第5号
71171100,袖扣、饰扣,,,千克,税委会公告2026年第5号
71171900,其他,,,千克,税委会公告2026年第5号
71179000,其他,,,千克,税委会公告2026年第5号
71181000,非法定货币的硬币（金币除外）,,,千克,税委会公告2026年第5号
71189000,其他,J,,千克,税委会公告2026年第5号
72011000,非合金生铁，按重量计含磷量在0.5％及以下,4Bx,N,千克,税委会公告2026年第5号
72012000,非合金生铁，按重量计含磷量在0.5％以上,4Bx,N,千克,税委会公告2026年第5号
72015000,合金生铁；镜铁,4Bx,N,千克,税委会公告2026年第5号
72021100,按重量计含碳量在2％以上,4xy,,千克,税委会公告2026年第5号
72021900,其他,4xy,,千克,税委会公告2026年第5号
72022100,按重量计含硅量55％以上,4xy,,千克,税委会公告2026年第5号
72022900,其他,4xy,,千克,税委会公告2026年第5号
72023000,硅锰铁,4xy,,千克,税委会公告2026年第5号
72024100,按重量计含碳量在4％以上,4xy,,千克,税委会公告2026年第5号
72024900,其他,4xy,,千克,税委会公告2026年第5号
72025000,硅铬铁,4xy,,千克,税委会公告2026年第5号
72026000,镍铁,4xy,,千克,税委会公告2026年第5号
72027000,钼铁,4xy,,千克,税委会公告2026年第5号
72028010,钨铁,4xy,,千克,税委会公告2026年第5号
72028020,硅钨铁,4xy,,千克,税委会公告2026年第5号
72029100,钛铁及硅钛铁,4xy,,千克,税委会公告2026年第5号
72029210,按重量计含钒量在75％及以上,4xy,,千克,税委会公告2026年第5号
72029290,其他,4xy,,千克,税委会公告2026年第5号
72029300,铌铁,4xy,,千克,税委会公告2026年第5号
72029911,速凝永磁片,4xy,,千克,税委会公告2026年第5号
72029912,磁粉,4xy,,千克,税委会公告2026年第5号
72029919,其他,4xy,,千克,税委会公告2026年第5号
72029991,按重量计稀土元素总含量在10％以上的,4xy,,千克,税委会公告2026年第5号
72029999,其他,4xy,,千克,税委会公告2026年第5号
72031000,直接从铁矿还原所得的铁产品,4x,,千克,税委会公告2026年第5号
72039000,其他,4x,,千克,税委会公告2026年第5号
72041000,铸铁废碎料再生钢铁原料,49Ax,M,千克,税委会公告2026年第5号
72042100,不锈钢废碎料,4Ax,M,千克,税委会公告2026年第5号
72042900,其他,4Ax,M,千克,税委会公告2026年第5号
72043000,镀锡钢铁废碎料,49x,,千克,税委会公告2026年第5号
72044100,车、刨、铣、磨、锯、锉、剪、冲加工过程中产生的废料，不论是否成捆再生钢铁原料,49Ax,M,千克,税委会公告2026年第5号
72044900,其他,49Ax,M,千克,税委会公告2026年第5号
72045000,供再熔的碎料钢铁锭,49x,,千克,税委会公告2026年第5号
72051000,颗粒,4Bx,N,千克,税委会公告2026年第5号
72052100,合金钢的,4Bx,N,千克,税委会公告2026年第5号
72052910,铁粉，平均粒径小于10微米,4Bx,N,千克,税委会公告2026年第5号
72052990,其他第二分章铁及非合金钢,4Bx,N,千克,税委会公告2026年第5号
72061000,锭状,4Bx,N,千克,税委会公告2026年第5号
72069000,其他,4Bx,N,千克,税委会公告2026年第5号
72071100,矩形（包括正方形）截面，宽度小于厚度的两倍,4Bx,N,千克,税委会公告2026年第5号
72071200,其他矩形（正方形除外）截面的,4Bx,N,千克,税委会公告2026年第5号
72071900,其他,4Bx,N,千克,税委会公告2026年第5号
72072000,按重量计含碳量在0.25%及以上,4Bx,N,千克,税委会公告2026年第5号
72081000,除热轧外未经进一步加工的卷材，已轧压花纹,4x,,千克,税委会公告2026年第5号
72082500,厚度在4.75毫米及以上,4x,,千克,税委会公告2026年第5号
72082610,屈服强度大于355牛顿/平方毫米,4x,,千克,税委会公告2026年第5号
72082690,其他,4x,,千克,税委会公告2026年第5号
72082710,厚度小于1.5毫米,4x,,千克,税委会公告2026年第5号
72082790,其他,4x,,千克,税委会公告2026年第5号
72083600,厚度超过10毫米,4x,,千克,税委会公告2026年第5号
72083700,厚度在4.75毫米及以上，但不超过10毫米,4x,,千克,税委会公告2026年第5号
72083810,屈服强度大于355牛顿/平方毫米,4x,,千克,税委会公告2026年第5号
72083890,其他,4x,,千克,税委会公告2026年第5号
72083910,厚度小于1.5毫米,4x,,千克,税委会公告2026年第5号
72083990,其他,4x,,千克,税委会公告2026年第5号
72084000,已轧压花纹的非卷材，除热轧外未经进一步加工,4x,,千克,税委会公告2026年第5号
72085110,厚度超过50毫米,4x,,千克,税委会公告2026年第5号
72085121,屈服强度不小于500牛顿/平方毫米,4x,,千克,税委会公告2026年第5号
72085129,其他,4x,,千克,税委会公告2026年第5号
72085191,屈服强度不小于500牛顿/平方毫米,4x,,千克,税委会公告2026年第5号
72085199,其他,4x,,千克,税委会公告2026年第5号
72085200,厚度在4.75毫米及以上，但不超过10毫米,4x,,千克,税委会公告2026年第5号
72085310,屈服强度大于355牛顿/平方毫米,4x,,千克,税委会公告2026年第5号
72085390,其他,4x,,千克,税委会公告2026年第5号
72085410,厚度小于1.5毫米,4x,,千克,税委会公告2026年第5号
72085490,其他,4x,,千克,税委会公告2026年第5号
72089000,其他,4x,,千克,税委会公告2026年第5号
72091510,屈服强度大于355牛顿/平方毫米,4x,,千克,税委会公告2026年第5号
72091590,其他,4x,,千克,税委会公告2026年第5号
72091610,屈服强度大于275牛顿/平方毫米,4x,,千克,税委会公告2026年第5号
72091691,断后伸长率不小于40%,4x,,千克,税委会公告2026年第5号
72091699,其他,4x,,千克,税委会公告2026年第5号
72091710,屈服强度大于275牛顿/平方毫米,4x,,千克,税委会公告2026年第5号
72091791,断后伸长率不小于38%,4x,,千克,税委会公告2026年第5号
72091799,其他,4x,,千克,税委会公告2026年第5号
72091810,厚度小于0.3毫米,4x,,千克,税委会公告2026年第5号
72091890,其他,4x,,千克,税委会公告2026年第5号
72092500,厚度在3毫米及以上,4x,,千克,税委会公告2026年第5号
72092600,厚度超过1毫米，但小于3毫米,4x,,千克,税委会公告2026年第5号
72092700,厚度在0.5毫米及以上，但不超过1毫米,4x,,千克,税委会公告2026年第5号
72092800,厚度小于0.5毫米,4x,,千克,税委会公告2026年第5号
72099000,其他,4x,,千克,税委会公告2026年第5号
72101100,厚度在0.5毫米及以上,4x,,千克,税委会公告2026年第5号
72101200,厚度小于0.5毫米,4x,,千克,税委会公告2026年第5号
72102000,镀或涂铅的，包括镀铅锡钢板,4x,,千克,税委会公告2026年第5号
72103000,电镀或涂锌的,4x,,千克,税委会公告2026年第5号
72104100,瓦楞形,4x,,千克,税委会公告2026年第5号
72104910,抗拉强度不小于440牛顿/平方毫米,4x,,千克,税委会公告2026年第5号
72104990,其他,4x,,千克,税委会公告2026年第5号
72105000,镀或涂氧化铬或铬及氧化铬的,4x,,千克,税委会公告2026年第5号
72106100,镀或涂铝锌合金的,4x,,千克,税委会公告2026年第5号
72106900,其他,4x,,千克,税委会公告2026年第5号
72107010,厚度小于1.5毫米,4x,,千克,税委会公告2026年第5号
72107090,其他,4x,,千克,税委会公告2026年第5号
72109000,其他,4x,,千克,税委会公告2026年第5号
72111300,经四面轧制或在闭合匣内轧制的非卷材，宽度超过150毫米，厚度不小于4毫米，未轧压花纹,4x,,千克,税委会公告2026年第5号
72111400,其他，厚度在4.75毫米及以上,4x,,千克,税委会公告2026年第5号
72111900,其他,4x,,千克,税委会公告2026年第5号
72112300,按重量计含碳量低于0.25％,4x,,千克,税委会公告2026年第5号
72112900,其他,4x,,千克,税委会公告2026年第5号
72119000,其他,4x,,千克,税委会公告2026年第5号
72121000,镀或涂锡的,4x,,千克,税委会公告2026年第5号
72122000,电镀或涂锌的,4x,,千克,税委会公告2026年第5号
72123000,用其他方法镀或涂锌的,4x,,千克,税委会公告2026年第5号
72124000,涂漆或涂塑的,4x,,千克,税委会公告2026年第5号
72125000,镀或涂其他材料的,4x,,千克,税委会公告2026年第5号
72126000,经包覆的,4x,,千克,税委会公告2026年第5号
72131000,带有轧制过程中产生的凹痕、凸缘、槽沟及其他变形的,4x,,千克,税委会公告2026年第5号
72132000,其他，易切削钢制,4x,,千克,税委会公告2026年第5号
72139100,直径小于14毫米圆形截面的,4x,,千克,税委会公告2026年第5号
72139900,其他,4x,,千克,税委会公告2026年第5号
72141000,锻造的,4x,,千克,税委会公告2026年第5号
72142000,带有轧制过程中产生的凹痕、凸缘、槽沟或其他变形以及轧制后扭曲的,4x,,千克,税委会公告2026年第5号
72143000,其他，易切削钢制,4x,,千克,税委会公告2026年第5号
72149100,矩形（正方形除外）截面的,4x,,千克,税委会公告2026年第5号
72149900,其他,4x,,千克,税委会公告2026年第5号
72151000,易切削钢制，除冷成型或冷加工外未经进一步加工,4x,,千克,税委会公告2026年第5号
72155000,其他，除冷成型或冷加工外未经进一步加工,4x,,千克,税委会公告2026年第5号
72159000,其他,4x,,千克,税委会公告2026年第5号
72161010,H型钢,4x,,千克,税委会公告2026年第5号
72161020,工字钢,4x,,千克,税委会公告2026年第5号
72161090,其他,4x,,千克,税委会公告2026年第5号
72162100,角钢,4x,,千克,税委会公告2026年第5号
72162200,丁字钢,4x,,千克,税委会公告2026年第5号
72163100,槽钢,4x,,千克,税委会公告2026年第5号
72163210,截面高度在200毫米以上,4x,,千克,税委会公告2026年第5号
72163290,其他,4x,,千克,税委会公告2026年第5号
72163311,截面高度在800毫米以上,4x,,千克,税委会公告2026年第5号
72163319,其他,4x,,千克,税委会公告2026年第5号
72163390,其他,4x,,千克,税委会公告2026年第5号
72164010,角钢,4x,,千克,税委会公告2026年第5号
72164020,丁字钢,4x,,千克,税委会公告2026年第5号
72165010,乙字钢,4x,,千克,税委会公告2026年第5号
72165020,球扁钢,4x,,千克,税委会公告2026年第5号
72165090,其他,4x,,千克,税委会公告2026年第5号
72166100,平板轧材制的,4x,,千克,税委会公告2026年第5号
72166900,其他,4x,,千克,税委会公告2026年第5号
72169100,平板轧材经冷成型或冷加工制的,4x,,千克,税委会公告2026年第5号
72169900,其他,4x,,千克,税委会公告2026年第5号
72171000,未经镀或涂层，不论是否抛光,4x,,千克,税委会公告2026年第5号
72172000,镀或涂锌的,4x,,千克,税委会公告2026年第5号
72173010,镀或涂铜的,4x,,千克,税委会公告2026年第5号
72173090,其他,4x,,千克,税委会公告2026年第5号
72179000,其他第三分章不锈钢,4x,,千克,税委会公告2026年第5号
72181000,锭状及其他初级形状,4Bx,N,千克,税委会公告2026年第5号
72189100,矩形（正方形除外）截面的,4Bx,N,千克,税委会公告2026年第5号
72189900,其他,4Bx,N,千克,税委会公告2026年第5号
72191100,厚度超过10毫米,4x,,千克,税委会公告2026年第5号
72191210,宽度在600毫米及以上，但不超过1800毫米,4x,,千克,税委会公告2026年第5号
72191290,其他,4x,,千克,税委会公告2026年第5号
72191312,按重量计含锰量在5.5％及以上的铬锰系不锈钢,4x,,千克,税委会公告2026年第5号
72191319,其他,4x,,千克,税委会公告2026年第5号
