商品编码,品名,序号,要素名,真实示例值,在目录要素内
55122900,其他,8,品牌（中文或外文名称）,中文：××（英文：××）,是
55129100,未漂白或漂白,1,织造方法（机织）,机织,是
55129100,未漂白或漂白,2,染整方法（漂白、未漂白、色织、染色等）,染色,是
55129100,未漂白或漂白,3,组织结构（平纹、斜纹、缎纹等）,斜纹,是
55129100,未漂白或漂白,4,合成纤维种类（长丝、短纤）,长丝,是
55129100,未漂白或漂白,5,成分含量,腈纶100%,是
55129100,未漂白或漂白,6,幅宽,83厘米,是
55129100,未漂白或漂白,7,每平方米克重,98克/平方米,是
55129100,未漂白或漂白,8,品牌（中文或外文名称）,中文：××（英文：××）,是
55129900,其他,1,织造方法（机织）,机织,是
55129900,其他,2,染整方法（漂白、未漂白、色织、染色等）,染色,是
55129900,其他,3,组织结构（平纹、斜纹、缎纹等）,斜纹,是
55129900,其他,4,合成纤维种类（长丝、短纤）,长丝,是
55129900,其他,5,成分含量,腈纶100%,是
55129900,其他,6,幅宽,83厘米,是
55129900,其他,7,每平方米克重,98克/平方米,是
55129900,其他,8,品牌（中文或外文名称）,中文：××（英文：××）,是
55131110,未漂白,1,织造方法（机织）,梭织,是
55131110,未漂白,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55131110,未漂白,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55131110,未漂白,4,成分含量,涤65%、棉35%,是
55131110,未漂白,5,幅宽,147厘米,是
55131110,未漂白,6,每平方米克重,135克/平方米,是
55131110,未漂白,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55131210,未漂白,1,织造方法（机织）,梭织,是
55131210,未漂白,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55131210,未漂白,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55131210,未漂白,4,成分含量,涤65%、棉35%,是
55131210,未漂白,5,幅宽,147厘米,是
55131210,未漂白,6,每平方米克重,135克/平方米,是
55131210,未漂白,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55131220,漂白,1,织造方法（机织）,梭织,是
55131220,漂白,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55131220,漂白,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55131220,漂白,4,成分含量,涤65%、棉35%,是
55131220,漂白,5,幅宽,147厘米,是
55131220,漂白,6,每平方米克重,135克/平方米,是
55131220,漂白,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55131310,未漂白,1,织造方法（机织）,梭织,是
55131310,未漂白,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55131310,未漂白,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55131310,未漂白,4,成分含量,涤65%、棉35%,是
55131310,未漂白,5,幅宽,147厘米,是
55131310,未漂白,6,每平方米克重,135克/平方米,是
55131310,未漂白,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55131320,漂白,1,织造方法（机织）,梭织,是
55131320,漂白,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55131320,漂白,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55131320,漂白,4,成分含量,涤65%、棉35%,是
55131320,漂白,5,幅宽,147厘米,是
55131320,漂白,6,每平方米克重,135克/平方米,是
55131320,漂白,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55131900,其他机织物,1,织造方法（机织）,梭织,是
55131900,其他机织物,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55131900,其他机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55131900,其他机织物,4,成分含量,涤65%、棉35%,是
55131900,其他机织物,5,幅宽,147厘米,是
55131900,其他机织物,6,每平方米克重,135克/平方米,是
55131900,其他机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55132100,聚酯短纤纺制的平纹机织物,1,织造方法（机织）,梭织,是
55132100,聚酯短纤纺制的平纹机织物,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55132100,聚酯短纤纺制的平纹机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55132100,聚酯短纤纺制的平纹机织物,4,成分含量,涤65%、棉35%,是
55132100,聚酯短纤纺制的平纹机织物,5,幅宽,147厘米,是
55132100,聚酯短纤纺制的平纹机织物,6,每平方米克重,135克/平方米,是
55132100,聚酯短纤纺制的平纹机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55132310,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,1,织造方法（机织）,梭织,是
55132310,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55132310,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55132310,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,4,成分含量,涤65%、棉35%,是
55132310,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,5,幅宽,147厘米,是
55132310,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,6,每平方米克重,135克/平方米,是
55132310,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55132390,其他,1,织造方法（机织）,梭织,是
55132390,其他,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55132390,其他,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55132390,其他,4,成分含量,涤65%、棉35%,是
55132390,其他,5,幅宽,147厘米,是
55132390,其他,6,每平方米克重,135克/平方米,是
55132390,其他,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55132900,其他机织物,1,织造方法（机织）,梭织,是
55132900,其他机织物,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55132900,其他机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55132900,其他机织物,4,成分含量,涤65%、棉35%,是
55132900,其他机织物,5,幅宽,147厘米,是
55132900,其他机织物,6,每平方米克重,135克/平方米,是
55132900,其他机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55133100,聚酯短纤纺制的平纹机织物,1,织造方法（机织）,梭织,是
55133100,聚酯短纤纺制的平纹机织物,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55133100,聚酯短纤纺制的平纹机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55133100,聚酯短纤纺制的平纹机织物,4,成分含量,涤65%、棉35%,是
55133100,聚酯短纤纺制的平纹机织物,5,幅宽,147厘米,是
55133100,聚酯短纤纺制的平纹机织物,6,每平方米克重,135克/平方米,是
55133100,聚酯短纤纺制的平纹机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55133910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,1,织造方法（机织）,梭织,是
55133910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55133910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55133910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,4,成分含量,涤65%、棉35%,是
55133910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,5,幅宽,147厘米,是
55133910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,6,每平方米克重,135克/平方米,是
55133910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55133920,其他聚酯短纤纺制的机织物,1,织造方法（机织）,梭织,是
55133920,其他聚酯短纤纺制的机织物,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55133920,其他聚酯短纤纺制的机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55133920,其他聚酯短纤纺制的机织物,4,成分含量,涤65%、棉35%,是
55133920,其他聚酯短纤纺制的机织物,5,幅宽,147厘米,是
55133920,其他聚酯短纤纺制的机织物,6,每平方米克重,135克/平方米,是
55133920,其他聚酯短纤纺制的机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55133990,其他机织物,1,织造方法（机织）,梭织,是
55133990,其他机织物,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55133990,其他机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55133990,其他机织物,4,成分含量,涤65%、棉35%,是
55133990,其他机织物,5,幅宽,147厘米,是
55133990,其他机织物,6,每平方米克重,135克/平方米,是
55133990,其他机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55134100,聚酯短纤纺制的平纹机织物,1,织造方法（机织）,梭织,是
55134100,聚酯短纤纺制的平纹机织物,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55134100,聚酯短纤纺制的平纹机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55134100,聚酯短纤纺制的平纹机织物,4,成分含量,涤65%、棉35%,是
55134100,聚酯短纤纺制的平纹机织物,5,幅宽,147厘米,是
55134100,聚酯短纤纺制的平纹机织物,6,每平方米克重,135克/平方米,是
55134100,聚酯短纤纺制的平纹机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55134910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,1,织造方法（机织）,梭织,是
55134910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55134910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55134910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,4,成分含量,涤65%、棉35%,是
55134910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,5,幅宽,147厘米,是
55134910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,6,每平方米克重,135克/平方米,是
55134910,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55134920,其他聚酯短纤纺制的机织物,1,织造方法（机织）,梭织,是
55134920,其他聚酯短纤纺制的机织物,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55134920,其他聚酯短纤纺制的机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55134920,其他聚酯短纤纺制的机织物,4,成分含量,涤65%、棉35%,是
55134920,其他聚酯短纤纺制的机织物,5,幅宽,147厘米,是
55134920,其他聚酯短纤纺制的机织物,6,每平方米克重,135克/平方米,是
55134920,其他聚酯短纤纺制的机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55134990,其他,1,织造方法（机织）,梭织,是
55134990,其他,2,染整方法（漂白、未漂白、色织、染色等）,漂白,是
55134990,其他,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55134990,其他,4,成分含量,涤65%、棉35%,是
55134990,其他,5,幅宽,147厘米,是
55134990,其他,6,每平方米克重,135克/平方米,是
55134990,其他,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55141110,未漂白,1,织造方法（机织）,机织,是
55141110,未漂白,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55141110,未漂白,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55141110,未漂白,4,成分含量,聚酯短纤80%、棉20%,是
55141110,未漂白,5,幅宽,150厘米,是
55141110,未漂白,6,每平方米克重,190克/平方米,是
55141110,未漂白,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55141120,漂白,1,织造方法（机织）,机织,是
55141120,漂白,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55141120,漂白,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55141120,漂白,4,成分含量,聚酯短纤80%、棉20%,是
55141120,漂白,5,幅宽,150厘米,是
55141120,漂白,6,每平方米克重,190克/平方米,是
55141120,漂白,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55141210,未漂白,1,织造方法（机织）,机织,是
55141210,未漂白,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55141210,未漂白,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55141210,未漂白,4,成分含量,聚酯短纤80%、棉20%,是
55141210,未漂白,5,幅宽,150厘米,是
55141210,未漂白,6,每平方米克重,190克/平方米,是
55141210,未漂白,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55141220,漂白,1,织造方法（机织）,机织,是
55141220,漂白,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55141220,漂白,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55141220,漂白,4,成分含量,聚酯短纤80%、棉20%,是
55141220,漂白,5,幅宽,150厘米,是
55141220,漂白,6,每平方米克重,190克/平方米,是
55141220,漂白,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55141911,未漂白,1,织造方法（机织）,机织,是
55141911,未漂白,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55141911,未漂白,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55141911,未漂白,4,成分含量,聚酯短纤80%、棉20%,是
55141911,未漂白,5,幅宽,150厘米,是
55141911,未漂白,6,每平方米克重,190克/平方米,是
55141911,未漂白,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55141912,漂白,1,织造方法（机织）,机织,是
55141912,漂白,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55141912,漂白,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55141912,漂白,4,成分含量,聚酯短纤80%、棉20%,是
55141912,漂白,5,幅宽,150厘米,是
55141912,漂白,6,每平方米克重,190克/平方米,是
55141912,漂白,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55141990,其他,1,织造方法（机织）,机织,是
55141990,其他,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55141990,其他,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55141990,其他,4,成分含量,聚酯短纤80%、棉20%,是
55141990,其他,5,幅宽,150厘米,是
55141990,其他,6,每平方米克重,190克/平方米,是
55141990,其他,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55142100,聚酯短纤纺制的平纹机织物,1,织造方法（机织）,机织,是
55142100,聚酯短纤纺制的平纹机织物,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55142100,聚酯短纤纺制的平纹机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55142100,聚酯短纤纺制的平纹机织物,4,成分含量,聚酯短纤80%、棉20%,是
55142100,聚酯短纤纺制的平纹机织物,5,幅宽,150厘米,是
55142100,聚酯短纤纺制的平纹机织物,6,每平方米克重,190克/平方米,是
55142100,聚酯短纤纺制的平纹机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55142200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,1,织造方法（机织）,机织,是
55142200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55142200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55142200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,4,成分含量,聚酯短纤80%、棉20%,是
55142200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,5,幅宽,150厘米,是
55142200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,6,每平方米克重,190克/平方米,是
55142200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55142300,其他聚酯短纤纺制的机织物,1,织造方法（机织）,机织,是
55142300,其他聚酯短纤纺制的机织物,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55142300,其他聚酯短纤纺制的机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55142300,其他聚酯短纤纺制的机织物,4,成分含量,聚酯短纤80%、棉20%,是
55142300,其他聚酯短纤纺制的机织物,5,幅宽,150厘米,是
55142300,其他聚酯短纤纺制的机织物,6,每平方米克重,190克/平方米,是
55142300,其他聚酯短纤纺制的机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55142900,其他机织物,1,织造方法（机织）,机织,是
55142900,其他机织物,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55142900,其他机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55142900,其他机织物,4,成分含量,聚酯短纤80%、棉20%,是
55142900,其他机织物,5,幅宽,150厘米,是
55142900,其他机织物,6,每平方米克重,190克/平方米,是
55142900,其他机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55143010,聚酯短纤纺制的平纹机织物,1,织造方法（机织）,机织,是
55143010,聚酯短纤纺制的平纹机织物,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55143010,聚酯短纤纺制的平纹机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55143010,聚酯短纤纺制的平纹机织物,4,成分含量,聚酯短纤80%、棉20%,是
55143010,聚酯短纤纺制的平纹机织物,5,幅宽,150厘米,是
55143010,聚酯短纤纺制的平纹机织物,6,每平方米克重,190克/平方米,是
55143010,聚酯短纤纺制的平纹机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55143020,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,1,织造方法（机织）,机织,是
55143020,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55143020,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55143020,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,4,成分含量,聚酯短纤80%、棉20%,是
55143020,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,5,幅宽,150厘米,是
55143020,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,6,每平方米克重,190克/平方米,是
55143020,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55143030,其他聚酯短纤纺制的机织物,1,织造方法（机织）,机织,是
55143030,其他聚酯短纤纺制的机织物,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55143030,其他聚酯短纤纺制的机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55143030,其他聚酯短纤纺制的机织物,4,成分含量,聚酯短纤80%、棉20%,是
55143030,其他聚酯短纤纺制的机织物,5,幅宽,150厘米,是
55143030,其他聚酯短纤纺制的机织物,6,每平方米克重,190克/平方米,是
55143030,其他聚酯短纤纺制的机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55143090,其他机织物,1,织造方法（机织）,机织,是
55143090,其他机织物,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55143090,其他机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55143090,其他机织物,4,成分含量,聚酯短纤80%、棉20%,是
55143090,其他机织物,5,幅宽,150厘米,是
55143090,其他机织物,6,每平方米克重,190克/平方米,是
55143090,其他机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55144100,聚酯短纤纺制的平纹机织物,1,织造方法（机织）,机织,是
55144100,聚酯短纤纺制的平纹机织物,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55144100,聚酯短纤纺制的平纹机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55144100,聚酯短纤纺制的平纹机织物,4,成分含量,聚酯短纤80%、棉20%,是
55144100,聚酯短纤纺制的平纹机织物,5,幅宽,150厘米,是
55144100,聚酯短纤纺制的平纹机织物,6,每平方米克重,190克/平方米,是
55144100,聚酯短纤纺制的平纹机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55144200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,1,织造方法（机织）,机织,是
55144200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55144200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55144200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,4,成分含量,聚酯短纤80%、棉20%,是
55144200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,5,幅宽,150厘米,是
55144200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,6,每平方米克重,190克/平方米,是
55144200,聚酯短纤纺制的三线或四线斜纹机织物，包括双面斜纹机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55144300,其他聚酯短纤纺制的机织物,1,织造方法（机织）,机织,是
55144300,其他聚酯短纤纺制的机织物,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55144300,其他聚酯短纤纺制的机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55144300,其他聚酯短纤纺制的机织物,4,成分含量,聚酯短纤80%、棉20%,是
55144300,其他聚酯短纤纺制的机织物,5,幅宽,150厘米,是
55144300,其他聚酯短纤纺制的机织物,6,每平方米克重,190克/平方米,是
55144300,其他聚酯短纤纺制的机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55144900,其他机织物,1,织造方法（机织）,机织,是
55144900,其他机织物,2,染整方法（漂白、未漂白、色织、染色等）,印花,是
55144900,其他机织物,3,组织结构（平纹、三线或四线斜纹、四线双面斜纹或十字斜纹、其他斜纹等）,斜纹,是
55144900,其他机织物,4,成分含量,聚酯短纤80%、棉20%,是
55144900,其他机织物,5,幅宽,150厘米,是
55144900,其他机织物,6,每平方米克重,190克/平方米,是
55144900,其他机织物,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55151100,主要或仅与粘胶纤维短纤混纺,1,织造方法（机织）,梭织,是
55151100,主要或仅与粘胶纤维短纤混纺,2,染整方法（漂白、未漂白、色织、染色等）,染色,是
55151100,主要或仅与粘胶纤维短纤混纺,3,组织结构（平纹、斜纹、缎纹等）,斜纹,是
55151100,主要或仅与粘胶纤维短纤混纺,4,成分含量,81%粘胶纤维、17%涤纶、2%氨纶,是
55151100,主要或仅与粘胶纤维短纤混纺,5,幅宽,147厘米,是
55151100,主要或仅与粘胶纤维短纤混纺,6,每平方米克重,245克/平方米,是
55151100,主要或仅与粘胶纤维短纤混纺,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55151200,主要或仅与化学纤维长丝混纺,1,织造方法（机织）,梭织,是
55151200,主要或仅与化学纤维长丝混纺,2,染整方法（漂白、未漂白、色织、染色等）,染色,是
55151200,主要或仅与化学纤维长丝混纺,3,组织结构（平纹、斜纹、缎纹等）,斜纹,是
55151200,主要或仅与化学纤维长丝混纺,4,成分含量,81%粘胶纤维、17%涤纶、2%氨纶,是
55151200,主要或仅与化学纤维长丝混纺,5,幅宽,147厘米,是
55151200,主要或仅与化学纤维长丝混纺,6,每平方米克重,245克/平方米,是
55151200,主要或仅与化学纤维长丝混纺,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55151300,主要或仅与羊毛或动物细毛混纺,1,织造方法（机织）,梭织,是
55151300,主要或仅与羊毛或动物细毛混纺,2,染整方法（漂白、未漂白、色织、染色等）,染色,是
55151300,主要或仅与羊毛或动物细毛混纺,3,组织结构（平纹、斜纹、缎纹等）,斜纹,是
55151300,主要或仅与羊毛或动物细毛混纺,4,成分含量,81%粘胶纤维、17%涤纶、2%氨纶,是
55151300,主要或仅与羊毛或动物细毛混纺,5,幅宽,147厘米,是
55151300,主要或仅与羊毛或动物细毛混纺,6,每平方米克重,245克/平方米,是
55151300,主要或仅与羊毛或动物细毛混纺,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55151900,其他,1,织造方法（机织）,梭织,是
55151900,其他,2,染整方法（漂白、未漂白、色织、染色等）,染色,是
55151900,其他,3,组织结构（平纹、斜纹、缎纹等）,斜纹,是
55151900,其他,4,成分含量,81%粘胶纤维、17%涤纶、2%氨纶,是
55151900,其他,5,幅宽,147厘米,是
55151900,其他,6,每平方米克重,245克/平方米,是
55151900,其他,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55152100,主要或仅与化学纤维长丝混纺,1,织造方法（机织）,梭织,是
55152100,主要或仅与化学纤维长丝混纺,2,染整方法（漂白、未漂白、色织、染色等）,染色,是
55152100,主要或仅与化学纤维长丝混纺,3,组织结构（平纹、斜纹、缎纹等）,斜纹,是
55152100,主要或仅与化学纤维长丝混纺,4,成分含量,81%粘胶纤维、17%涤纶、2%氨纶,是
55152100,主要或仅与化学纤维长丝混纺,5,幅宽,147厘米,是
55152100,主要或仅与化学纤维长丝混纺,6,每平方米克重,245克/平方米,是
55152100,主要或仅与化学纤维长丝混纺,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55152200,主要或仅与羊毛或动物细毛混纺,1,织造方法（机织）,梭织,是
55152200,主要或仅与羊毛或动物细毛混纺,2,染整方法（漂白、未漂白、色织、染色等）,染色,是
55152200,主要或仅与羊毛或动物细毛混纺,3,组织结构（平纹、斜纹、缎纹等）,斜纹,是
55152200,主要或仅与羊毛或动物细毛混纺,4,成分含量,81%粘胶纤维、17%涤纶、2%氨纶,是
55152200,主要或仅与羊毛或动物细毛混纺,5,幅宽,147厘米,是
55152200,主要或仅与羊毛或动物细毛混纺,6,每平方米克重,245克/平方米,是
55152200,主要或仅与羊毛或动物细毛混纺,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55152900,其他,1,织造方法（机织）,梭织,是
55152900,其他,2,染整方法（漂白、未漂白、色织、染色等）,染色,是
55152900,其他,3,组织结构（平纹、斜纹、缎纹等）,斜纹,是
55152900,其他,4,成分含量,81%粘胶纤维、17%涤纶、2%氨纶,是
55152900,其他,5,幅宽,147厘米,是
55152900,其他,6,每平方米克重,245克/平方米,是
55152900,其他,7,品牌（中文或外文名称）,中文：××（英文：××）,是
55159100,主要或仅与化学纤维长丝混纺,1,织造方法（机织）,梭织,是
